"","this","needs_this","type"
"1","abc","R","depends"
"2","abc","abc.data","depends"
"3","abc","nnet","depends"
"4","abc","quantreg","depends"
"5","abc","MASS","depends"
"6","abc","locfit","depends"
"7","abn","nnet","depends"
"8","abn","MASS","depends"
"9","abn","lme4","depends"
"10","abn","R","depends"
"11","abn","methods","imports"
"12","abn","rjags","imports"
"13","abn","INLA","suggests"
"14","abn","Rgraphviz","suggests"
"15","abn","R.rsp","suggests"
"16","AdMit","mvtnorm","depends"
"17","AdMit","coda","suggests"
"18","arm","R","depends"
"19","arm","MASS","depends"
"20","arm","Matrix","depends"
"21","arm","stats","depends"
"22","arm","lme4","depends"
"23","arm","abind","imports"
"24","arm","coda","imports"
"25","arm","graphics","imports"
"26","arm","grDevices","imports"
"27","arm","methods","imports"
"28","arm","nlme","imports"
"29","arm","utils","imports"
"30","AtelieR","R","depends"
"31","AtelieR","proto","depends"
"32","AtelieR","cairoDevice","depends"
"33","AtelieR","gWidgetsRGtk2","depends"
"34","AtelieR","partitions","depends"
"35","BaBooN","R","depends"
"36","BaBooN","Rcpp","depends"
"37","BaBooN","Hmisc","imports"
"38","BaBooN","MASS","imports"
"39","BaBooN","nnet","imports"
"40","BaBooN","coda","imports"
"41","BaBooN","mice","suggests"
"42","BaBooN","lattice","suggests"
"43","BaBooN","norm","suggests"
"44","BACCO","emulator","depends"
"45","BACCO","calibrator","depends"
"46","BACCO","approximator","depends"
"47","BaM","R","depends"
"48","BaM","coda","imports"
"49","BaM","dlm","imports"
"50","BaM","MASS","imports"
"51","BaM","mice","imports"
"52","BaM","nnet","imports"
"53","bamlss","R","depends"
"54","bamlss","coda","depends"
"55","bamlss","colorspace","depends"
"56","bamlss","mgcv","depends"
"57","bamlss","Formula","imports"
"58","bamlss","MBA","imports"
"59","bamlss","mvtnorm","imports"
"60","bamlss","sp","imports"
"61","bamlss","Matrix","imports"
"62","bamlss","survival","imports"
"63","bamlss","methods","imports"
"64","bamlss","parallel","imports"
"65","bamlss","akima","suggests"
"66","bamlss","bit","suggests"
"67","bamlss","ff","suggests"
"68","bamlss","ffbase","suggests"
"69","bamlss","fields","suggests"
"70","bamlss","gamlss","suggests"
"71","bamlss","geoR","suggests"
"72","bamlss","rjags","suggests"
"73","bamlss","BayesX","suggests"
"74","bamlss","BayesXsrc","suggests"
"75","bamlss","mapdata","suggests"
"76","bamlss","maps","suggests"
"77","bamlss","maptools","suggests"
"78","bamlss","raster","suggests"
"79","bamlss","spatstat","suggests"
"80","bamlss","spdep","suggests"
"81","bamlss","zoo","suggests"
"82","bamlss","keras","suggests"
"83","bamlss","splines2","suggests"
"84","bamlss","sdPrior","suggests"
"85","bamlss","glogis","suggests"
"86","bamlss","glmnet","suggests"
"87","bamlss","scoringRules","suggests"
"88","BART","R","depends"
"89","BART","nlme","depends"
"90","BART","nnet","depends"
"91","BART","survival","depends"
"92","BART","Rcpp","imports"
"93","BART","parallel","imports"
"94","BART","tools","imports"
"95","BART","MASS","suggests"
"96","BART","knitr","suggests"
"97","BART","rmarkdown","suggests"
"98","BART","sbart","suggests"
"99","BAS","R","depends"
"100","BAS","stats","imports"
"101","BAS","graphics","imports"
"102","BAS","utils","imports"
"103","BAS","grDevices","imports"
"104","BAS","MASS","suggests"
"105","BAS","knitr","suggests"
"106","BAS","GGally","suggests"
"107","BAS","rmarkdown","suggests"
"108","BAS","roxygen2","suggests"
"109","BAS","dplyr","suggests"
"110","BAS","glmbb","suggests"
"111","BAS","pkgdown","suggests"
"112","BAS","testthat","suggests"
"113","BAS","covr","suggests"
"114","BayesDA","stats","depends"
"115","BayesDA","R","depends"
